Ім'я сестри засновників Києва?,Либідь
Найдовша річка України?,Дніпро
Гора – національний символ України?,Говерла
Як називається Основний закон країни?,Конституція
Парламент України?,Верховна рада
Рослина, що квітне лише в народних легендах?,Папороть
Символи гетьманської влади в Україні у XV—XVIII століттях...?,Клейноди
Козак їх любив більше ніж дівчину, особливо з сиром?,Вареники
Хто першим визнав незалежність України?,Польща
Коли Верховна Рада ухвалила Конституцію України?(дд.мм.рррр),28.06.1994
Коли Україна юридично "розірвала" дружбу з Росією?(дд.мм.рррр),01.04.2019
Скільки разів Папа Римський відвідував Україну?,Один
Який український клуб виграв Кубок УЄФА за часи незалежності?,Шахтар
Хто виграв перше олімпійське "золото" в історії незалежної України?,Оксана Баюл
Скільки разів в Україні забороняли Комуністичну партію?,Двічі
Хто вперше виграв на Євробаченні?,Руслана
Скільки разів Україна вигравала на Євробаченні?,Тричі
Коли в Україні перестала існувати міліція?(рік),2015
Впізнайте президента за асоціацією: "увікнити" Україну", "йолка", "Астанавітєсь,Янукович
Коли в Україні розпочалася Революція гідності?(рік),2013
Росія розпочала окупацію Криму?(дд.мм.рррр),20.02.2014
Хто – перший космонавт незалежної України?,Леонід Каденюк
Скільки літер в українському алфавіті?,33
Яка українська станція метро найглибша у світі?,Арсенальна
Яка область в Україні найбільша за площею?,Одеська
Коли Україні делегували домен ".ua"?(дд.мм.рррр),01.12.1992
Як звали брата, на честь якого побудували місто Київ?,Кий
Як було названо річку на честь засновниці Києва?,Либідь
Що означає "козак"?,Вільна людина
Хто охрестив Київську Русь?,Володимир Великий
Якого князя називали Мудрим?,Ярослава
Найменьше море в Україні?,Азовське
Який з літературних творів Тараса Шевченка перекладався найбільше разів?,Кобзар
Коли святкується День Соборностні України?,22 січня
Як називається малий Герб України?,Тризуб
Коли святкують День Державного Прапора України?(дд.мм),23.08
Хто є автором вірша "Ще не вмерла України?",Павло Чубинський
Головний народний символ України?,Калина
Чий портрет зображено на купюрі номіналом 50грн?,Михайшло Грушевський
Яке свято ми святкуємо 16 лютого?,День Єднання
Коли святкується День Збройних сил України?,14 жовтня
